N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
137,에스원,"64,700",상승700,+1.09%,500,"24,585","37,999",56.09,"14,090",13.91,10.85
138,KODEX 미국나스닥100,"19,180",상승390,+2.08%,0,"24,454","127,500",0.06,"615,364",N/A,N/A
139,TIGER 200,"34,470",상승260,+0.76%,0,"23,939","69,450",9.35,"848,094",N/A,N/A
140,한전기술,"61,800",상승500,+0.82%,200,"23,620","38,220",9.65,"138,772",40.37,10.40
141,KCC,"263,000","상승1,000",+0.38%,"5,000","23,371","8,886",10.25,"8,024",7.53,6.08
142,엘앤에프,"64,200","상승2,400",+3.88%,500,"23,315","36,316",16.10,"107,147",-6.16,-41.74
143,TIGER 미국필라델피아반도체나스닥,"16,955",상승545,+3.32%,0,"23,211","136,900",0.28,"1,069,720",N/A,N/A
144,한화생명,"2,665",상승20,+0.76%,"5,000","23,146","868,530",10.05,"422,376",3.14,6.98
145,KODEX 200TR,"12,290",상승75,+0.61%,0,"22,988","187,050",0.00,"154,427",N/A,N/A
146,한온시스템,"3,385",상승50,+1.50%,100,"22,976","678,763",5.29,"443,503",-5.01,-13.90
147,미스토홀딩스,"37,675",상승225,+0.60%,"1,000","22,641","60,096",41.01,"55,290",26.95,4.30
148,대한전선,"11,900",상승160,+1.36%,"1,000","22,187","186,447",6.01,"376,266",29.10,5.85
149,KODEX CD1년금리플러스액티브(합성),"1,022,540",상승60,+0.01%,0,"22,062","2,158",0.00,"7,090",N/A,N/A
150,롯데쇼핑,"77,600","상승5,500",+7.63%,"5,000","21,952","28,289",8.43,"156,497",-2.27,-7.75
151,코스맥스,"193,000","하락2,500",-1.28%,500,"21,905","11,350",35.17,"41,191",25.53,20.53
152,SK가스,"230,500","하락2,000",-0.86%,"5,000","21,310","9,245",7.10,"13,444",11.90,6.74
153,제일기획,"18,320",하락40,-0.22%,200,"21,076","115,041",24.83,"66,184",10.16,15.12
154,영원무역,"46,850",상승200,+0.43%,500,"20,760","44,311",29.12,"15,426",4.86,12.32
155,ACE 미국30년국채액티브(H),"7,715",하락20,-0.26%,0,"20,329","263,500",0.00,"1,337,110",N/A,N/A
156,한미사이언스,"29,450",하락100,-0.34%,500,"20,141","68,392",2.03,"59,257",34.13,7.30
157,ACE 미국S&P500,"20,245",상승320,+1.61%,0,"20,103","99,300",0.08,"289,179",N/A,N/A
158,TIGER 미국배당다우존스,"11,595",상승95,+0.83%,0,"19,897","171,600",0.01,"732,927",N/A,N/A
159,아시아나항공,"9,590",보합0,0.00%,"5,000","19,754","205,991",2.62,"41,241",-1.87,-53.21
160,현대해상,"22,000",상승450,+2.09%,500,"19,668","89,400",36.57,"75,876",2.31,15.75
161,한전KPS,"43,200",상승800,+1.89%,200,"19,440","45,000",16.57,"74,822",11.27,13.26
162,한국콜마,"82,300","하락1,300",-1.56%,500,"19,427","23,605",36.07,"182,021",21.49,12.50
163,CJ대한통운,"84,900",상승700,+0.83%,"5,000","19,368","22,812",14.07,"16,846",7.79,6.58
164,TIGER MSCI Korea TR,"14,415",상승125,+0.87%,0,"19,071","132,300",0.00,"2,231",N/A,N/A
